,Name,Record,Height,Weight,Reach,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,wins,draws,losses,age,STANCE_Orthodox,STANCE_Southpaw,STANCE_Switch,ELO
719,Qiu Lun,Record: 16-9-0,68.0,125.0,66.0,1997-07-08,3.51,0.46,1.78,0.67,0.67,0.18,0.68,0.0,16,0,9,28,False,True,False,0.8992841004039761
720,Marcelo Guimaraes,Record: 9-2-1,72.0,185.0,73.0,1983-06-25,4.67,0.51,4.41,0.62,1.99,0.13,0.0,0.0,9,1,2,42,True,False,False,0.21750968655293745
723,Mitch Gagnon,Record: 12-5-0,65.0,135.0,65.0,1984-10-10,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9,12,0,5,41,False,True,False,0.38090596238575786
724,Jonathan Piersma,Record: 9-3-0 (1 NC),71.0,170.0,73.0,1996-03-03,0.4,0.42,0.87,0.31,0.0,0.0,0.36,3.0,9,0,3,29,True,False,False,0.5963391714925995
727,Nicolas Dalby,Record: 24-6-1 (2 NC),71.0,170.0,74.0,1984-11-16,3.88,0.43,3.51,0.52,0.9,0.26,0.59,0.1,24,1,6,41,True,False,False,0.2389001358273347
728,Tonya Evinger,Record: 19-8-0 (1 NC),67.0,135.0,70.0,1981-06-04,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9,19,0,8,44,True,False,False,0.07407564794202584
729,Jason Dent,Record: 22-13-0,70.0,155.0,71.0,1980-06-12,2.01,0.39,3.7,0.62,0.0,0.0,0.26,1.4,22,0,13,45,True,False,False,0.029183532908039104
730,Billy Evangelista,Record: 13-3-0 (1 NC),68.0,155.0,68.0,1980-10-07,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2,13,0,3,45,True,False,False,0.14436664741165472
731,Rodrigo Damm,Record: 13-9-0,67.0,155.0,71.0,1980-02-03,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,13,0,9,45,True,False,False,-0.08119598422158472
732,Johnny Eduardo,Record: 28-13-0,67.0,135.0,71.0,1978-08-03,2.95,0.39,3.22,0.63,0.22,0.2,0.58,0.4,28,0,13,47,True,False,False,0.023943020057323447
736,Anthony Romero,Record: 8-0-0,71.0,155.0,70.0,1997-02-25,5.87,0.52,4.0,0.65,2.0,0.22,1.0,0.0,8,0,0,28,True,False,False,1.2521389377778422
737,Chris Weidman,Record: 16-8-0,74.0,185.0,78.0,1984-06-17,3.11,0.45,3.37,0.51,3.27,0.42,0.72,0.8,16,0,8,41,True,False,False,0.40197641043567683
738,Paul Daley,Record: 39-15-2,69.0,170.0,76.0,1983-02-21,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0.0,39,2,15,42,True,False,False,0.26345890229829144
739,KJ Noons,Record: 13-9-0 (1 NC),70.0,155.0,70.0,1982-12-07,3.68,0.35,3.78,0.65,0.08,0.2,0.68,0.0,13,0,9,43,True,False,False,0.009237117784918761
742,Pannie Kianzad,Record: 17-9-0,67.0,135.0,66.0,1991-12-08,4.88,0.49,4.09,0.51,0.41,0.33,0.65,0.1,17,0,9,34,True,False,False,0.45813384948830926
743,Randy Costa,Record: 6-4-0,69.0,135.0,73.0,1994-07-06,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,6,0,4,31,False,False,True,-0.2664741669209592
748,Stephen Thompson,Record: 17-9-1,72.0,170.0,75.0,1983-02-11,4.05,0.46,3.0,0.54,0.23,0.35,0.63,0.0,17,1,9,42,True,False,False,0.1719522717287638
749,Andy Enz,Record: 10-4-0,75.0,185.0,78.0,1991-08-15,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0,10,0,4,34,True,False,False,-0.4213001910327469
750,Akihiro Gono,Record: 35-21-8,67.0,170.0,68.0,1974-10-07,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,35,8,21,51,False,False,True,0.03178805595886878
751,Mike Pyle,Record: 27-14-1,72.0,170.0,74.0,1975-09-18,2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5,27,1,14,50,True,False,False,0.054113101699927106
752,Max Holloway,Record: 27-8-0,71.0,145.0,69.0,1991-12-04,7.2,0.48,4.74,0.59,0.24,0.53,0.83,0.3,27,0,8,34,True,False,False,1.1643502170960636
753,Mitch Clarke,Record: 11-5-0,70.0,155.0,73.0,1985-11-24,2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4,11,0,5,40,True,False,False,0.08361881119473706
757,Dennis Siver,Record: 23-11-0 (1 NC),66.0,145.0,70.0,1979-01-13,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,23,0,11,46,True,False,False,0.1353387619869099
758,Jason Saggo,Record: 12-4-0,71.0,155.0,71.0,1985-11-23,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0,12,0,4,40,True,False,False,0.3924749921675547
759,Alvaro Herrera Mendoza,Record: 9-6-0,72.0,155.0,74.0,1990-05-14,1.89,0.38,3.4,0.55,0.0,0.0,0.33,1.1,9,0,6,35,True,False,False,0.03198551361060652
760,Alexander Volkov,Record: 39-11-0,79.0,261.0,80.0,1988-10-24,4.78,0.57,2.86,0.53,0.57,0.66,0.68,0.2,39,0,11,37,True,False,False,0.8585847520108618
761,Marco Beltran,Record: 8-6-0,68.0,125.0,69.0,1986-05-18,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,8,0,6,39,True,False,False,0.25873270914687657
764,Cody Garbrandt,Record: 14-7-0,68.0,135.0,65.0,1991-07-07,2.88,0.39,3.64,0.59,0.93,0.27,0.83,0.0,14,0,7,34,True,False,False,0.13723950629959786
765,Andrew Holbrook,Record: 12-3-0,71.0,155.0,70.0,1986-02-06,2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1,12,0,3,39,False,True,False,0.4170426900059629
768,Rayanne dos Santos,Record: 14-9-0,62.0,115.0,62.0,1995-06-08,4.57,0.4,6.47,0.59,0.5,0.14,0.8,0.0,14,0,9,30,True,False,False,-0.5160143174087771
770,Richie Smullen,Record: 3-1-1,69.0,155.0,68.0,1991-08-17,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0,3,1,1,34,True,False,False,0.6636164314555083
771,Elias Garcia,Record: 6-2-0,65.0,125.0,67.0,1992-09-13,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4,6,0,2,33,False,True,False,0.1078019863014317
772,Jon Tuck,Record: 10-5-0,71.0,155.0,73.0,1984-08-28,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0,10,0,5,41,True,False,False,0.13442849137833204
773,Ryo Chonan,Record: 22-13-0,69.0,170.0,70.0,1976-10-08,2.57,0.43,2.25,0.6,0.61,0.41,0.39,0.3,22,0,13,49,True,False,False,0.04365651297868994
776,Jacare Souza,Record: 26-10-0 (1 NC),73.0,185.0,72.0,1979-12-07,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3,26,0,10,46,True,False,False,0.1653796886766114
778,Natan Levy,Record: 8-2-0,69.0,155.0,71.0,1991-09-30,3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5,8,0,2,34,False,True,False,0.9334796348376239
781,Mandel Nallo,Record: 14-3-0 (1 NC),72.0,155.0,75.0,1989-07-26,8.61,0.62,2.58,0.72,0.0,0.0,1.0,0.0,14,0,3,36,True,False,False,1.2747494915548736
783,Gleison Tibau,Record: 33-14-0,70.0,155.0,71.0,1983-10-07,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,33,0,14,42,False,True,False,0.34389292609041544
785,Mike Perry,Record: 14-8-0,70.0,170.0,71.0,1991-09-15,4.32,0.47,5.16,0.52,0.81,0.4,0.78,0.2,14,0,8,34,True,False,False,0.16035854064883243
787,Erik Koch,Record: 16-6-0,70.0,170.0,71.0,1988-10-04,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0,16,0,6,37,False,True,False,0.4067678764573555
788,Michihiro Omigawa,Record: 17-14-1,66.0,145.0,68.0,1975-12-19,2.01,0.39,3.06,0.64,1.19,0.36,0.49,1.5,17,1,14,50,True,False,False,0.03490824751774208
790,Peter Sobotta,Record: 17-7-1,72.0,170.0,75.0,1987-01-11,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5,17,1,7,38,False,True,False,0.31513231804981257
791,Dustin Ortiz,Record: 19-8-0,65.0,125.0,65.0,1988-12-25,2.94,0.44,2.17,0.56,3.01,0.36,0.52,0.1,19,0,8,37,True,False,False,0.8593853587949748
793,Cole Smith,Record: 7-2-0,71.0,135.0,67.0,1989-04-05,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7,7,0,2,36,True,False,False,0.5386433037215307
794,Bekzat Almakhan,Record: 12-3-0,67.0,135.0,68.0,1997-10-08,1.61,0.34,3.73,0.36,0.0,0.0,0.41,0.0,12,0,3,28,True,False,False,-0.43565526358502377
795,Charles Oliveira,Record: 36-11-0 (1 NC),70.0,155.0,74.0,1989-10-17,3.35,0.54,3.24,0.49,2.22,0.4,0.54,2.6,36,0,11,36,True,False,False,0.9738276055231533
796,Raphael Uchegbu,Record: 10-2-0,69.0,135.0,73.0,1995-08-16,2.46,0.48,2.85,0.5,1.48,0.16,0.0,0.0,10,0,2,30,True,False,False,0.6206538580344794
797,LC Davis,Record: 23-8-0,68.0,135.0,69.0,1980-10-28,2.04,0.3,2.1,0.59,2.27,0.46,0.66,0.2,23,0,8,45,False,True,False,0.19126141147926778
798,Lisa Kyriacou,Record: 7-2-0,65.0,125.0,64.0,1993-11-17,4.67,0.41,4.4,0.47,0.0,0.0,0.33,0.0,7,0,2,32,True,False,False,-0.01708980501622574
800,Calen Born,Record: 7-1-0,68.0,170.0,72.0,1988-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1,37,False,False,True,0.0
801,Jacobe Smith,Record: 11-0-0,70.0,170.0,72.0,1996-01-17,6.21,0.66,2.86,0.47,7.42,0.9,1.0,0.8,11,0,0,29,False,True,False,2.50794161469695
802,Zhang Qinghe,Record: 16-8-1,67.0,135.0,67.0,2001-11-05,2.87,0.33,4.73,0.49,0.0,0.0,0.5,0.0,16,1,8,24,False,True,False,-0.47063053629191176
803,Denis Kang,Record: 35-16-2 (2 NC),71.0,185.0,77.0,1977-09-17,2.27,0.35,1.65,0.67,2.51,0.65,0.38,1.2,35,2,16,48,True,False,False,0.12321975221757774
805,Luis Gomez,Record: 4-1-0,67.0,145.0,68.0,1995-01-28,1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0,4,0,1,30,True,False,False,0.581436356267916
815,Viscardi Andrade,Record: 19-6-0,71.0,170.0,75.0,1984-03-08,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,19,0,6,41,True,False,False,0.4353458500024294
818,Yuma Horiuchi,Record: 9-5-0,66.0,125.0,67.0,1997-09-22,3.73,0.3,5.0,0.35,2.0,0.16,0.0,2.0,9,0,5,28,False,False,True,1.0007604761519744
819,Timmy Cuamba,Record: 10-3-0,69.0,135.0,71.0,1999-02-08,2.77,0.44,3.58,0.57,1.31,0.31,0.72,0.0,10,0,3,26,True,False,False,0.3214577750668625
822,Andre Petroski,Record: 13-6-0,72.0,185.0,73.0,1991-06-12,2.81,0.49,2.79,0.53,3.15,0.51,0.86,1.3,13,0,6,34,False,False,True,0.9738997286477079
824,Mohamed Ado,Record: 5-1-0,71.0,170.0,76.0,2000-05-03,1.66,0.83,0.33,0.75,4.97,0.5,0.5,5.0,5,0,1,25,False,False,True,1.116900052502457
825,Rafa Garcia,Record: 18-4-0,67.0,155.0,70.0,1994-08-05,4.31,0.45,4.54,0.61,3.13,0.44,0.76,0.5,18,0,4,31,True,False,False,1.0937302645210547
826,Philipe Lins,Record: 18-5-0,74.0,205.0,78.0,1985-08-17,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0,18,0,5,40,True,False,False,0.36003291812192006
827,Eric Nolan,Record: 8-4-0,74.0,185.0,74.0,1997-09-13,3.14,0.39,5.13,0.41,0.0,0.0,0.71,0.0,8,0,4,28,True,False,False,-0.610564190503131
829,Magnus Cedenblad,Record: 14-5-0,77.0,185.0,79.0,1982-04-10,2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0,14,0,5,43,True,False,False,0.26297246804400604
832,Mayra Bueno Silva,Record: 10-6-1 (1 NC),66.0,135.0,66.0,1991-08-22,3.71,0.56,4.9,0.51,0.51,0.23,0.63,1.3,10,1,6,34,True,False,False,0.1803657212245172
834,Ashiek Ajim,Record: 6-2-0,68.0,135.0,71.0,1994-06-19,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,6,0,2,31,False,False,True,0.0
837,Antonio Silva,Record: 19-12-1,76.0,264.0,82.0,1979-09-14,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,19,1,12,46,True,False,False,0.08105560057120405
841,Bailey Schoenfelder,Record: 5-1-0,75.0,265.0,76.0,1997-09-22,0.0,0.0,9.86,0.53,0.0,0.0,0.0,0.0,5,0,1,28,True,False,False,0.0
842,Jeremy Stephens,Record: 28-20-0 (1 NC),69.0,155.0,71.0,1986-05-25,3.15,0.4,3.14,0.58,1.11,0.38,0.62,0.4,28,0,20,39,True,False,False,0.3420309128819779
843,Terrance McKinney,Record: 17-7-0,70.0,155.0,73.0,1994-09-15,5.78,0.56,2.58,0.47,3.59,0.4,0.77,2.2,17,0,7,31,False,False,True,2.344793477750085
844,Rory Markham,Record: 17-6-0,72.0,170.0,71.0,1982-03-25,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0,17,0,6,43,True,False,False,0.0
845,Sergio Moraes,Record: 14-6-1,72.0,170.0,72.0,1982-07-23,2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4,14,1,6,43,True,False,False,0.06946084671914848
846,Michelle Waterson-Gomez,Record: 18-13-0,63.0,115.0,62.0,1986-01-06,3.42,0.46,4.25,0.48,1.39,0.33,0.69,0.6,18,0,13,39,True,False,False,0.24395152212765184
849,Rob Font,Record: 22-9-0,68.0,135.0,71.0,1987-06-25,5.36,0.45,3.7,0.57,0.74,0.3,0.43,0.3,22,0,9,38,True,False,False,0.5010415637496197
851,Marcus Davis,Record: 22-11-0 (1 NC),70.0,170.0,70.0,1973-08-24,2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4,22,0,11,52,False,True,False,0.03213462435748915
856,Jaime Alvarez,Record: 6-1-0,68.0,125.0,69.0,1988-03-08,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,6,0,1,37,True,False,False,0.06556696225483565
857,Ben Sosoli,Record: 7-3-0 (2 NC),72.0,265.0,72.0,1989-12-10,2.31,0.31,4.3,0.47,0.0,0.0,0.0,0.0,7,0,3,36,False,True,False,0.0
858,Marcus Buchecha,Record: 5-2-0,74.0,255.0,77.0,1990-01-08,1.6,0.4,2.73,0.52,1.0,0.09,0.0,0.0,5,0,2,35,True,False,False,0.24043199122495304
859,Nadia Kassem,Record: 5-2-0,65.0,125.0,66.0,1995-11-15,3.13,0.41,4.48,0.48,0.46,0.33,0.4,2.8,5,0,2,30,False,True,False,0.46236914917229943
861,Rousimar Palhares,Record: 19-8-0,68.0,170.0,71.0,1980-02-26,1.75,0.51,2.04,0.59,3.93,0.45,0.0,4.1,19,0,8,45,True,False,False,0.26189149627945335
862,Khalid Taha,Record: 13-5-0 (1 NC),65.0,135.0,69.0,1992-02-15,2.64,0.32,4.12,0.46,0.0,0.0,0.61,0.2,13,0,5,33,True,False,False,-0.3794444331617035
865,Marcus Brimage,Record: 7-7-0,64.0,135.0,71.0,1985-04-06,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0,7,0,7,40,False,True,False,0.26962005522869686
867,Devin Clark,Record: 14-9-0,72.0,205.0,75.0,1990-04-12,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1,14,0,9,35,True,False,False,0.6333138548678147
869,Shogo Sato,Record: 5-1-0 (1 NC),67.0,170.0,66.0,1993-06-08,2.14,0.25,25.71,0.29,0.0,0.0,0.0,0.0,5,0,1,32,False,True,False,0.0
870,Brad Katona,Record: 16-5-0,66.0,135.0,64.0,1991-12-19,4.81,0.52,4.75,0.5,1.86,0.34,0.61,0.0,16,0,5,34,True,False,False,0.6933490125431816
873,An Tuan Ho,Record: 6-2-0,66.0,125.0,66.0,2000-09-27,1.95,0.35,2.81,0.55,1.72,0.25,0.16,0.0,6,0,2,25,False,False,True,0.5078227613968309
874,Roosevelt Roberts,Record: 12-6-0 (1 NC),74.0,155.0,73.0,1994-02-11,2.84,0.43,3.1,0.52,1.18,0.26,0.5,0.7,12,0,6,31,True,False,False,0.6296515497051751
875,Aaron Rosa,Record: 18-6-0,76.0,205.0,77.0,1983-05-28,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,18,0,6,42,True,False,False,0.06327496912948243
876,Nordine Taleb,Record: 15-7-0,73.0,170.0,74.0,1981-06-10,3.66,0.51,2.62,0.66,1.94,0.76,0.73,0.0,15,0,7,44,True,False,False,0.286372351281745
877,Wulijiburen,Record: 20-9-0,69.0,135.0,69.0,1989-03-01,1.61,0.42,3.02,0.56,3.28,0.42,0.77,0.4,20,0,9,36,True,False,False,0.5021571764183165
878,Devonte Smith,Record: 11-4-0,69.0,155.0,76.0,1993-07-30,4.55,0.53,3.91,0.49,0.35,0.25,0.85,0.3,11,0,4,32,True,False,False,0.4324664907876173
880,Gadzhimurad Antigulov,Record: 20-8-0,71.0,205.0,70.0,1987-02-09,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,20,0,8,38,True,False,False,0.8381974770967267
881,WonBin Ki,Record: 18-9-0,71.0,155.0,73.0,1991-02-11,6.73,0.5,4.21,0.55,0.73,0.2,0.5,0.0,18,0,9,34,True,False,False,0.7708651704957517
883,Brendan O'Reilly,Record: 6-3-0 (1 NC),67.0,170.0,69.0,1987-06-24,1.9,0.47,2.77,0.39,2.22,0.43,0.36,0.6,6,0,3,38,True,False,False,0.36082588103460606
886,Wagnney Fabiano,Record: 16-4-0,66.0,145.0,69.0,1975-07-14,1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4,16,0,4,50,False,True,False,0.08333317515277708
888,Brad Blackburn,Record: 18-13-1 (1 NC),70.0,170.0,73.0,1977-05-25,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,18,1,13,48,True,False,False,0.0891054277916713
890,SuYoung You,Record: 16-3-0 (2 NC),66.0,135.0,65.0,1995-12-11,2.28,0.46,1.96,0.7,3.8,0.47,0.66,0.4,16,0,3,30,True,False,False,1.4565839837112138
891,Eddie Wineland,Record: 24-16-1,67.0,135.0,69.0,1984-06-26,3.4,0.29,3.76,0.68,0.34,0.33,0.86,0.1,24,1,16,41,True,False,False,0.047690872647761444
892,Francisco Trinaldo,Record: 28-9-0,69.0,170.0,70.0,1978-08-24,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,28,0,9,47,False,True,False,0.10445034157774566
893,Kevin Vallejos,Record: 16-1-0,67.0,145.0,68.0,2001-12-08,6.28,0.45,5.23,0.57,0.84,0.33,0.83,0.0,16,0,1,24,False,False,True,0.7858335691370303
894,Urijah Faber,Record: 35-11-0,66.0,135.0,67.0,1979-05-14,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,35,0,11,46,True,False,False,0.14107809810067007
897,Danylo Voievodkin,Record: 7-0-0,76.0,265.0,78.0,2000-07-19,9.86,0.46,0.0,1.0,0.0,0.0,0.0,12.3,7,0,0,25,False,True,False,1.066057533073107
901,Francesco Mazzeo,Record: 4-1-0,75.0,205.0,75.0,1997-09-23,1.83,0.44,0.75,0.65,3.23,0.5,0.0,0.0,4,0,1,28,True,False,False,0.7808235280363617
902,Michael Bisping,Record: 30-9-0,73.0,185.0,75.0,1979-02-28,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,30,0,9,46,True,False,False,0.1804608807941294
904,Mateus Mendonca,Record: 10-3-0,66.0,125.0,71.0,1999-01-17,1.66,0.4,4.14,0.3,2.54,0.27,0.55,0.4,10,0,3,26,True,False,False,0.3739479761558243
907,Jacob Kilburn,Record: 8-4-0,69.0,145.0,72.0,1995-06-28,2.56,0.33,6.78,0.35,0.51,0.05,0.2,0.5,8,0,4,30,True,False,False,-0.022259008570719534
909,Ozzy Diaz,Record: 10-3-0,76.0,185.0,79.0,1990-11-22,6.44,0.5,7.23,0.59,0.0,0.0,0.5,0.0,10,0,3,35,True,False,False,-0.22017826756428155
910,Liana Jojua,Record: 8-5-0,64.0,125.0,62.0,1995-03-22,2.42,0.3,5.32,0.54,1.71,0.66,0.5,1.3,8,0,5,30,True,False,False,0.3573906944970828
913,Brunno Ferreira,Record: 14-2-0,70.0,185.0,72.0,1992-11-04,3.41,0.5,3.34,0.51,1.39,0.28,0.57,1.0,14,0,2,33,True,False,False,0.7892744388980159
917,Malik Lewis,Record: 6-2-0,72.0,155.0,75.0,1996-03-04,4.16,0.45,5.66,0.4,3.98,0.4,0.5,0.0,6,0,2,29,True,False,False,0.6041817594379864
918,Tony Sims,Record: 12-4-0,71.0,155.0,70.0,1985-10-14,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,12,0,4,40,False,True,False,0.4040611687296574
919,Shane Carwin,Record: 12-2-0,74.0,265.0,80.0,1975-01-04,4.38,0.47,3.53,0.53,1.42,0.33,0.42,0.0,12,0,2,50,True,False,False,0.04320102085644002
920,Danny Chavez,Record: 11-5-1,68.0,145.0,67.0,1987-03-14,2.86,0.38,3.83,0.5,1.95,0.6,0.87,0.0,11,1,5,38,True,False,False,0.2682194361971266
921,Nassourdine Imavov,Record: 17-4-0 (1 NC),75.0,185.0,75.0,1996-03-01,4.28,0.54,3.17,0.58,0.74,0.32,0.81,1.0,17,0,4,29,True,False,False,1.163102119780993
922,Jonathan Wilson,Record: 7-3-0,74.0,205.0,75.0,1987-07-17,2.92,0.48,5.65,0.56,0.37,1.0,0.8,0.0,7,0,3,38,False,True,False,-0.10876034061037365
924,Mackenzie Dern,Record: 16-5-0,64.0,115.0,63.0,1993-03-24,3.47,0.41,3.93,0.51,0.93,0.18,0.37,1.1,16,0,5,32,True,False,False,0.6244762093441742
926,Pat Barry,Record: 8-7-0,71.0,235.0,74.0,1979-07-07,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2,8,0,7,46,True,False,False,-0.03663455753883415
929,Claude Patrick,Record: 14-2-0,71.0,170.0,75.0,1980-06-14,1.8,0.55,0.89,0.69,2.32,0.53,0.84,1.7,14,0,2,45,True,False,False,0.2779522328560626
931,John Albert,Record: 6-5-0,68.0,135.0,68.0,1986-10-13,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,6,0,5,39,True,False,False,0.41604938940329117
932,Shane Campbell,Record: 14-6-0,72.0,155.0,71.0,1987-01-21,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0.0,14,0,6,38,True,False,False,0.5001177114091198
933,Kolton Englund,Record: 9-4-0,70.0,155.0,69.0,1993-07-09,2.31,0.25,11.54,0.4,0.0,0.0,0.0,0.0,9,0,4,32,True,False,False,0.0
934,Ciryl Gane,Record: 13-2-0 (1 NC),76.0,247.0,81.0,1990-04-12,5.29,0.61,2.33,0.6,0.68,0.25,0.47,0.6,13,0,2,35,True,False,False,0.8836920922129138
936,Bart Palaszewski,Record: 36-17-0,69.0,145.0,70.0,1983-05-30,2.67,0.32,3.97,0.57,0.65,0.31,0.53,0.5,36,0,17,42,True,False,False,0.0742656422824307
937,Gina Mazany,Record: 7-6-0,66.0,125.0,68.0,1988-08-19,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,7,0,6,37,False,True,False,0.6243825164246088
938,Islem Masraf,Record: 3-1-0,72.0,205.0,74.0,1996-06-07,0.68,0.2,3.88,0.15,0.0,0.0,1.0,0.0,3,0,1,29,False,True,False,-0.7910402108579228
939,Alex Da Silva,Record: 21-4-0,68.0,155.0,73.0,1996-02-04,2.14,0.46,2.52,0.56,1.97,0.43,0.76,0.3,21,0,4,29,True,False,False,0.9538618155357977
940,Geoff Neal,Record: 16-7-0,71.0,170.0,75.0,1990-08-28,5.05,0.51,5.48,0.57,0.54,0.45,0.87,0.1,16,0,7,35,False,True,False,0.1523558698714377
941,Jessin Ayari,Record: 16-6-0,72.0,155.0,73.0,1992-05-31,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,16,0,6,33,True,False,False,-0.0038761277844848448
942,Sergei Pavlovich,Record: 20-3-0,75.0,257.0,84.0,1992-05-13,4.43,0.44,3.62,0.55,0.48,0.25,0.75,0.0,20,0,3,33,False,True,False,0.5396271899457388
945,JeongYeong Lee,Record: 11-3-0,70.0,145.0,73.0,1995-11-13,3.38,0.49,3.82,0.5,0.63,0.66,0.72,0.3,11,0,3,30,True,False,False,0.4660432836315956
946,Collin Huckbody,Record: 8-2-0,75.0,185.0,76.0,1994-09-29,2.05,0.6,2.73,0.42,10.23,1.0,0.0,20.4,8,0,2,31,True,False,False,1.1256912567736748
948,Marina Rodriguez,Record: 17-6-2,66.0,115.0,65.0,1987-04-29,4.51,0.46,3.01,0.55,0.27,0.5,0.61,0.3,17,2,6,38,True,False,False,0.49478431908272574
950,Tony DeSouza,Record: 11-4-0,72.0,170.0,70.0,1974-07-26,1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5,11,0,4,51,False,True,False,0.039882470581083136
951,Huang Feier,Record: 14-8-0,65.0,115.0,65.0,1994-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,8,31,True,False,False,0.0
953,Andre Lima,Record: 11-0-0,67.0,125.0,67.0,1999-02-04,4.06,0.6,2.49,0.57,1.36,0.75,0.75,1.1,11,0,0,26,True,False,False,1.4348741669215888
954,Luke Zachrich,Record: 14-4-0,74.0,185.0,74.0,1981-12-19,4.56,0.32,4.46,0.62,0.74,0.33,0.8,0.0,14,0,4,44,True,False,False,0.089971357294565
957,Phillipe Nover,Record: 11-8-1,69.0,145.0,72.0,1984-02-03,1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7,11,1,8,41,True,False,False,0.18887312211958548
958,Roger Huerta,Record: 23-9-1 (1 NC),69.0,155.0,70.0,1983-05-20,3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,23,1,9,42,True,False,False,0.44048555680846535
959,Paul Craig,Record: 17-10-1 (1 NC),75.0,205.0,76.0,1987-11-27,2.5,0.45,3.04,0.43,1.43,0.18,0.35,1.3,17,1,10,38,True,False,False,0.4547334619751671
961,Thales Leites,Record: 28-9-0,73.0,185.0,78.0,1981-09-06,2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1,28,0,9,44,True,False,False,0.22628094831091775
962,Shane Roller,Record: 11-7-0,70.0,155.0,72.0,1979-07-14,2.04,0.34,2.65,0.6,2.46,0.33,0.42,1.9,11,0,7,46,True,False,False,0.1382199421173943
963,Tim Williams,Record: 15-5-0,74.0,185.0,76.0,1986-07-03,3.07,0.38,3.55,0.48,1.81,0.4,1.0,0.0,15,0,5,39,True,False,False,0.2816695645907907
965,Jason MacDonald,Record: 25-16-0,75.0,185.0,80.0,1975-06-03,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0,25,0,16,50,True,False,False,0.04393521229614714
968,Mike Pierce,Record: 17-7-0,68.0,170.0,71.0,1980-09-01,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2,17,0,7,45,True,False,False,0.21971352521056303
969,Yanis Ghemmouri,Record: 12-3-0,69.0,135.0,69.0,1995-01-24,2.29,0.38,5.14,0.35,0.0,0.0,0.0,0.0,12,0,3,30,True,False,False,0.0
970,Neil Seery,Record: 16-13-0,64.0,125.0,64.0,1979-08-30,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6,16,0,13,46,True,False,False,0.0974935683256657
